,user_input,date,count_docs,content_clean
0,Amazement,2012,6,"['looking forward to the  dine with mitt and donald  this thursday  can t wait to meet the lucky winner  ', ' having a vision for something can be a very powerful force for accomplishment     midas touch', 'at the national achievers congress in london  i will be talking about success  it will be an amazing event  ', 'miss universe contestants are amazing the most beautiful ever ', 'was with  yesterday  great golfer  great architect  great guy ', 'congratulations to  on a stunning win in south carolina  all eyes are on florida now ']"
1,Amazement,2013,14,"['    can t wait for apprentice tonight   you will love it ', '     ticket sales spike dramatically after inviting    are you surprised ', 'things happen that make you question whether you should keep going  as long as you are enjoying what you are doing  keep going ', '    went to  winery in charlottesville va yesterday for my birthday  it was awesome  one of the best   thanks ', '     staying at the trump in chicago  well done sir  this place is amazing   ', 'rt      her beauty lives 5 000 miles past heaven     thank u  ', '      is my favorite celebrity in the world  i can t believe she met him  great and thanks ', 'just left the set of the apprentice   the live show tonight will be fantastic   and something very big and very different is going to happen', 'i just left  in charlottesville virginia     it is the finest in the country    really incredible ', '        trump soho       you re brilliant   it has proven to be a great hotel    thanks ', ' it was great being with you last night   fantastic people  and bob v is special   ', '     is just amazing  made my night watching him on letterman        thanks lizzy ', '     it s amazing how you keep your success going this far keep it up     thanks ', 'just left florida  amazing how well state is doing   jobs way up  taxes down  congrats to ']"
2,Amazement,2014,17,"['     playing trump ferry point this morning  looking forward to it  have a great time ', '    on   when was the last time something positive has happened in this country   hmmmm    so true ', '    it looks like you ve outdone yourself donald  beautiful property   thanks ', 'just did final purchase on fabulous  in ireland  will become trump international hotel   golf links  ireland  very exciting ', '     very true comment donald  i m glad we have people like you in this day and age ', '   played turnberry ailsa today it was awesome good job ', '    an aussie   such an amazing place  well done       happy easter', '    visited  over the weekend  very impressive and we will be going back soon  ', '  visited trump international scotland yesterday  amazing golf course      com qpbczpcez5  thanks ', ' success breeds success  the best way to impress people is through results     think like a billionaire', ' success breeds success  the best way to impress people is through results     think like a billionaire', '    first time in the trump international hotel and tower  and it s absolutely gorgeous   thank you sir  excellent hospitality', 'trump turnberry news conference tomorrow at noon  scotland time  the place is amazing ', '      was just at turnberry   the place is awesome ', '   hi donald  i thought you may like to see a photo of turnberry lighthouse i took last year  com etglg5duwc  beautiful ', 'happy anniversary to my wonderful wife     a truly great decision by me  com eo9ei1njwv', '    i saw the toronto hotel last year   it is a beauty indeed  great addition to the skyline  ']"
3,Amazement,2015,16,"['        was awesome yesterday  can t wait to see a new episode tonight   we are here', '       it s amazing how people fear a change for the better ', '    donald trump all american billionaire full  via   wow  so nice   thank you ', 'just got back from iowa  fantastic evening with truly fabulous people  will be back again soon  thanks ', '    watching mighty planes about  private b 757  mr  trump is the man  he s as impressive as the jet   thank you ', 'the people of tennessee yesterday were amazing  thank you ', 'iowa was amazing today  great crowd  great people  thanks  will be back soon ', '       loved your choice for winner this season  awesome job  xoxo  ', '    this man is our everyting       com xgt2nmwqud ', '    from st  patrick s cathedral  nyc  blessings  prayers and heartfelt concern for those in paris ', '    i just watched d trumps interview on  i get more impressed everytime i hear him speak    thanks', '    so much respect for vivica fox right now wow  that was by far the classiest move i ve ever seen on   ', 'wow  so nice and so true  thank you        time to rethink the choices    ', '   watched you on   made some excellent points  best wishes ', '         yes  im recently in love with all things trump  ', 'big crowds  standing ovations in south carolina   make america great again ']"
4,Amazement,2016,8,"['on my way to new hampshire  expecting a big and spirited crowd       com 9hb7jo3wrz', 'i will be making a big surprise announcement to the massive crowd assembled in huntsville madison alabama  landing now  ', 'thank you brian france  bill elliott               youtu be dtuoqikij7e', 'congratulations to the movement  we have just won the great state of oregon  the vote percentage is even higher than anticipated  thank you ', 'just finished my second speech  20k in dayton   25k in cleveland  perfectly behaved crowd  thanks  i love you  ohio  com idmwg5fqsw', 'just returned from pennsylvania where we will be bringing back their jobs  amazing crowd  will be going back tomorrow  to gettysburg ', '    kudos to  and  for rising above the drama and coming together  very respectful and classy  ', '    you will be the greatest president the world has ever seen  thanks ']"
5,Amazement,2017,3,"['wonderful weekend at camp david  a very special place  a lot of very important work done  heading back to the  now  com ckxlsdr1ut', ' u s  consumer comfort just reached its highest level in a decade     com xc0pira6ep', 'attending chief ryan owens  dignified transfer yesterday with my daughter ivanka was my great honor  to a great and brave man   thank you ']"
6,Amazement,2018,3,"['thank you      twitter com i moments 1040235446876467201  ', 'happy fourth of july    our country is doing great ', 'melania and i met such incredible people last night in broward county  florida  will never forget them  or the evening ']"
7,Amazement,2019,7,"['wow  just got word that our june 18th  tuesday  announcement in orlando  florida  already has 74 000 requests for a 20 000 seat arena  with all of the big events that we have done  this ticket looks to be the  hottest  of them all  see you in florida ', 'we ve got nasa  rocking  again  great activity and success  congrats to spacex and all ', ' hiv is cured in 2nd patient  doctors report    such great news for so many  tremendous progress being made ', 'visited a great family of a young man under major surgery at the amazing walter reed medical center  those are truly some of the best doctors anywhere in the world  also began phase one of my yearly physical  everything very good  great    will complete next year ', 'big night for the republican party  congratulations to all ', 'the s p just hit an all time high  this is a big win for jobs  401 k s  and  frankly  everyone  our country is doing great  even killed long sought isis murderer  al baghdadi  we are stronger than ever before  with great upward potential  enjoy ', 'great day in the incredible commonwealth of pennsylvania today  with the amazing energy workers  construction workers  and craft workers who make america run   and who make america proud  no one in the world does it better than you  com jfwgyjzwkm']"
8,Amazement,2020,5,"['i am so stunned  i ve never seen numbers like this and i ve been doing this for 30 years  steve m  ', '    be put in use immediately  people are dying  move fast  and god bless everyone     ', 'macy s at 34th  street  long the largest single department store anywhere in the world    a point of pride in nyc  was devastated yesterday when hoodlums and thieves vandalized it  breaking almost all of its large panels of storefront glass  what a shame  bring in national guard ', 'new stock market record  congratulations  spend your money wisely  keep america great     ', 'somebody please tell highly overrated colin powell that i will have gotten almost 300 federal judges approved  a record   two great supreme court justices  rebuilt our once depleted military  choice for vets  biggest ever tax   regulation cuts  saved healthcare   2a    much more ']"
9,Anticipation,2012,13,"['looking forward to the  dine with mitt and donald  this thursday  can t wait to meet the lucky winner  ', 'looking forward to sunday s speech in the excel centre  ', 'when will  realize he is on a fool s errand trying to defend  s ineptitude ', ' fans watch today s   to find out about our new app ', 'everybody is asking about my announcement this wednesday concerning barack obama   just wait and see ', ' having a vision for something can be a very powerful force for accomplishment     midas touch', 'attention to detail is critical  choose scents that exude sophistication   confidence  find out more 4 18  5 30 pm  herald square ', 'my interview with  from the olympics 100 day countdown in times square', 'i hope derek jeter s recovery is going well  he is a very special player and a great guy  new york loves him  ', 'at the national achievers congress in london  i will be talking about success  it will be an amazing event  ', 'see you tonight in north carolina  making keynote for the republican party  will be fun ', 'my son don will be giving the keynote address at the investment show in sandton  south africa on dec  1  he s an  cont  ', 'i will be speaking monday  september 24   10 a m   at liberty university  to a record setting student body  i look forward to it ']"
